,book_table,can_order_via_zomato,cost_for_two,delivery_reviews,dining_reviews,discount,has_menu_available,rest_type,review_rating,dining_rating,delivery_rating
0,0,1,600.0,875.0,3524.0,0.0,1,Casual Dining,3.4,4.1,3.9
1,0,1,300.0,9042.0,835.0,0.0,1,Sweet Shop,3.8,4.1,4.4
2,0,1,300.0,209.0,4044.0,0.0,1,Quick Bites,4.6,4.5,4.1
3,0,1,900.0,3428.0,419.0,0.0,1,Bakery,4.4,4.2,4.5
4,0,0,700.0,8871.0,2717.0,0.0,1,Casual Dining,1.8,4.2,3.8
5,0,0,800.0,4074.0,8915.0,0.0,1,Quick Bites,4.8,4.7,4.2
6,0,1,450.0,208.0,1025.0,0.0,1,Quick Bites,4.8,2.9,3.6
7,0,0,1000.0,2320.0,450.0,10.0,1,Casual Dining,5.0,4.4,4.1
8,0,1,400.0,491.0,147.0128911057848,0.0,1,Bakery,5.0,4.4,1.365971367493684
9,0,1,450.0,6571.0,326.0,15.0,1,Dessert Parlor,4.0,3.9,4.2
10,1,1,700.0,988.0,3509.0,15.0,1,Casual Dining,4.0,4.0,3.9
11,0,1,100.0,3144.0,196.0,0.0,1,Quick Bites,4.2,3.9,4.1
12,0,1,800.0,4605.0,1007.0,30.0,1,Casual Dining,3.6,4.0,3.9
13,0,1,1000.0,31.0,3267.0,0.0,1,Casual Dining,2.0,3.9,3.9
14,0,1,500.0,108.0,1227.0,0.0,1,Quick Bites,4.0,4.1,3.9
15,0,1,300.0,7026.0,738.0,0.0,1,Quick Bites,4.4,4.2,4.4
16,0,1,1500.0,155.0,3422.0,0.0,1,Casual Dining,3.4,4.3,3.7
17,0,1,700.0,2724.0,2859.0,0.0,1,Quick Bites,4.0,4.7,4.1
18,0,0,600.0,4682.0,817.0,0.0,1,Bakery,3.6,4.2,4.3
19,0,1,400.0,146.0,925.0,0.0,1,Quick Bites,3.8,3.7,3.6
20,0,1,650.0,7564.0,711.0,10.0,1,Casual Dining,5.0,4.2,3.9
21,0,1,900.0,8147.0,526.0,0.0,1,Casual Dining,2.6,3.8,3.7
22,0,1,250.0,5525.0,4605.0,0.0,1,Quick Bites,4.0,3.8,4.1
23,0,0,500.0,1450.0,1425.0,0.0,1,Casual Dining,4.2,4.0,3.8
24,0,1,950.0,445.0,1538.0,0.0,1,Casual Dining,4.8,3.9,4.0
25,0,1,550.0,9970.0,1232.0,0.0,1,Casual Dining,3.2,4.3,3.8
26,0,0,200.0,2765.0,147.0128911057848,0.0,1,Quick Bites,4.8,4.3,1.365971367493684
27,0,0,150.0,2234.0,403.0,0.0,1,Quick Bites,4.8,3.9,4.1
28,0,1,1100.0,8540.0,1807.0,0.0,1,Casual Dining,2.4,4.4,3.9
29,0,1,350.0,1870.0,103.0,0.0,1,Quick Bites,4.4,3.9,3.9
30,0,1,1800.0,3460.0,1824.0,0.0,1,Casual Dining,2.6,4.5,4.0
31,0,1,300.0,217.0,1636.0,10.0,1,Quick Bites,4.8,4.2,3.9
32,0,0,2000.0,622.0818811945326,84.0,0.0,1,Bar,4.0,3.8,1.365971367493684
33,0,0,300.0,4145.0,280.0,0.0,1,Sweet Shop,3.0,3.9,4.1
34,0,0,200.0,5918.0,592.0,0.0,1,Quick Bites,4.4,4.2,3.9
35,0,0,250.0,4796.0,224.0,0.0,1,Quick Bites,2.8,3.9,3.9
36,0,1,700.0,9929.0,1062.0,0.0,1,Casual Dining,4.0,4.6,4.2
37,0,1,2200.0,53.0,915.0,0.0,1,Casual Dining,3.8,4.3,3.9
38,0,0,600.0,2448.0,374.0,0.0,1,Quick Bites,3.0,3.9,4.1
39,0,1,300.0,873.0,355.0,0.0,1,Quick Bites,4.0,4.0,3.9
40,0,0,150.0,293.0,52.0,0.0,1,Quick Bites,5.0,3.5,4.5
41,0,1,800.0,3872.0,595.0,0.0,1,Casual Dining,4.6,4.1,4.0
42,0,0,450.0,144.0,198.0,0.0,1,Casual Dining,5.0,3.9,3.6
43,0,1,650.0,4594.0,364.0,10.0,1,Quick Bites,3.6,3.5,3.5
44,0,0,450.0,434.0,297.0,0.0,0,Casual Dining,4.6,3.9,4.1
45,1,1,1500.0,7814.0,1287.0,0.0,1,Casual Dining,4.6,4.3,4.1
46,0,0,450.0,622.0818811945326,76.0,0.0,1,Beverage Shop,5.0,3.9,1.365971367493684
47,0,0,150.0,3718.0,147.0128911057848,10.0,0,South Indian,4.6,3.8,1.365971367493684
48,0,1,250.0,622.0818811945326,77.0,0.0,1,Beverage Shop,5.0,3.8,1.365971367493684
49,0,1,600.0,4287.0,414.0,0.0,1,Quick Bites,4.2,3.7,3.8
50,0,1,2000.0,5118.0,2424.0,0.0,1,Casual Dining,4.8,4.5,3.8
51,0,0,400.0,1252.0,441.0,0.0,1,Quick Bites,5.0,4.1,3.3
52,0,1,400.0,622.0818811945326,36.0,22.0,1,Quick Bites,5.0,3.5,1.365971367493684
53,0,1,200.0,7320.0,2902.0,0.0,1,Quick Bites,3.8,4.4,3.5
54,0,1,600.0,1932.0,438.0,0.0,1,Casual Dining,4.6,4.0,3.8
55,0,1,1200.0,5138.0,791.0,15.0,1,Casual Dining,3.2,4.0,3.8
56,0,0,550.0,560.0,147.0128911057848,0.0,1,Chinese,5.0,3.6,1.365971367493684
57,0,1,1300.0,1505.0,1787.0,0.0,1,Casual Dining,3.8,4.2,3.8
58,0,0,200.0,622.0818811945326,85.0,0.0,1,Sweet Shop,5.0,3.5,1.365971367493684
59,0,0,500.0,1234.0,147.0128911057848,0.0,1,Fast Food,4.0,3.9,1.365971367493684
60,0,1,750.0,224.0,1826.0,0.0,1,Casual Dining,4.0,4.2,3.7
61,0,1,400.0,348.0,63.0,0.0,1,Quick Bites,5.0,3.6,3.9
62,0,1,350.0,550.0,103.0,0.0,1,Quick Bites,4.6,3.8,4.1
63,0,1,500.0,1860.0,147.0128911057848,0.0,1,Bakery,5.0,4.4,1.365971367493684
64,0,1,400.0,622.0,48.0,20.0,1,Bakery,4.0,3.7,4.3
65,0,1,250.0,9414.0,147.0128911057848,0.0,1,Rolls,4.8,4.2,1.365971367493684
66,0,1,600.0,184.0,1399.0,0.0,1,Quick Bites,3.6,4.0,3.9
67,0,1,300.0,953.0,605.0,0.0,1,Bakery,5.0,4.3,4.3
68,0,1,500.0,7613.0,591.0,30.0,1,Quick Bites,3.8,4.1,3.8
69,0,0,850.0,7187.0,807.0,0.0,1,Casual Dining,4.0,4.0,3.9
70,0,0,1100.0,6753.0,2613.0,10.0,1,Casual Dining,3.8,3.8,3.7
71,0,0,700.0,361.0,644.0,0.0,1,Casual Dining,4.4,4.0,4.0
72,0,1,600.0,3228.0,1482.0,0.0,1,Casual Dining,4.0,3.6,3.7
73,0,1,500.0,732.0,147.0128911057848,10.0,1,Bakery,3.0,3.9,1.365971367493684
74,0,1,600.0,3050.0,571.0,0.0,1,Casual Dining,3.6,3.8,3.6
75,0,1,800.0,350.0,500.0,0.0,1,Casual Dining,5.0,4.0,4.3
76,0,1,400.0,131.0,1892.0,0.0,1,Quick Bites,3.0,4.0,3.6
77,0,1,150.0,114.0,33.0,0.0,1,Quick Bites,3.8,3.7,3.9
78,0,0,400.0,290.0,147.0128911057848,20.0,1,Chinese,4.2,3.4,1.365971367493684
79,0,1,500.0,5524.0,1615.0,0.0,1,Casual Dining,3.6,4.0,4.2
80,0,0,1000.0,622.0818811945326,1597.0,0.0,1,Café,3.6,4.1,1.365971367493684
81,0,1,700.0,2392.0,598.0,0.0,1,Quick Bites,4.8,4.0,4.0
82,0,1,800.0,473.0,382.0,0.0,1,Casual Dining,5.0,4.3,4.4
83,0,1,500.0,3340.0,147.0128911057848,0.0,1,Pizza,4.6,3.7,1.365971367493684
84,0,0,400.0,24.0,350.0,0.0,1,Bakery,3.2,4.0,3.9
85,0,0,200.0,338.0,147.0128911057848,0.0,0,Bakery,5.0,4.4,1.365971367493684
86,0,1,400.0,4195.0,233.0,20.0,1,Quick Bites,4.2,3.5,3.8
87,0,1,450.0,867.0,147.0128911057848,0.0,1,Bakery,4.8,4.5,1.365971367493684
88,0,1,600.0,9650.0,1269.0,15.0,1,Casual Dining,3.8,4.2,4.0
89,0,1,350.0,3982.0,147.0128911057848,0.0,1,Chinese,1.0,3.5,1.365971367493684
90,0,1,1300.0,3935.0,1499.0,0.0,1,Casual Dining,3.4,4.0,3.7
91,0,1,800.0,2530.0,1441.0,0.0,1,Casual Dining,3.0,4.2,3.8
92,0,1,1900.0,272.0,192.0,100.0,1,Casual Dining,5.0,4.0,4.0
93,0,0,300.0,600.0,66.0,0.0,1,Quick Bites,3.4,3.8,3.6
94,1,1,600.0,8263.0,186.0,15.0,1,Casual Dining,2.4,3.7,3.8
95,0,1,500.0,118.0,339.0,40.0,1,Quick Bites,2.8,2.8,3.2
96,0,0,700.0,4510.0,326.0,10.0,1,Casual Dining,3.6,3.8,3.6
97,0,1,300.0,5755.0,295.0,0.0,1,Quick Bites,3.6,3.9,3.9
98,0,1,1000.0,4214.0,1360.0,0.0,1,Casual Dining,3.2,4.0,4.1
99,0,1,1600.0,7691.0,2076.0,0.0,1,Casual Dining,4.2,4.3,4.3
100,0,1,200.0,743.0,98.0,100.0,1,Sweet Shop,2.8,2.9,3.9
101,0,1,700.0,268.0,1383.0,0.0,1,Casual Dining,2.8,4.0,3.9
102,0,1,550.0,23.0,147.0128911057848,0.0,1,Chinese,5.0,3.2,1.365971367493684
103,0,1,2800.0,622.0818811945326,6507.0,0.0,1,Fine Dining,4.0,4.9,1.365971367493684
104,0,1,400.0,293.0,147.0128911057848,25.0,1,Bakery,5.0,3.6,1.365971367493684
105,0,1,550.0,3702.0,1199.0,0.0,1,Casual Dining,4.6,4.0,3.9
106,0,0,300.0,123.0,411.0,0.0,1,Quick Bites,4.8,3.9,3.6
107,0,0,400.0,622.0818811945326,2583.0,0.0,1,Bakery,4.4,4.7,1.365971367493684
108,0,0,300.0,75.0,49.0,0.0,1,Dessert Parlor,4.2,3.6,3.9
109,0,1,400.0,1119.0,147.0128911057848,0.0,1,Dessert Parlor,5.0,4.3,1.365971367493684
110,0,1,500.0,108.0,491.0,0.0,1,Casual Dining,4.2,3.7,3.8
111,0,1,450.0,6349.0,575.0,0.0,1,Quick Bites,3.6,4.0,4.0
112,0,0,2000.0,1180.0,6337.0,0.0,1,Casual Dining,4.2,4.3,4.3
113,0,1,350.0,453.0,147.0128911057848,10.0,1,Biryani,4.8,3.6,1.365971367493684
114,0,0,300.0,44.0,23.0,20.0,1,Quick Bites,5.0,3.4,3.3
115,0,1,800.0,131.0,1176.0,0.0,1,Casual Dining,2.2,4.0,4.0
116,0,1,800.0,9474.0,2324.0,10.0,1,Casual Dining,3.0,3.8,4.0
117,0,1,1200.0,622.0818811945326,3651.0,0.0,1,Casual Dining,3.8,4.5,1.365971367493684
118,0,1,700.0,324.0,125.0,0.0,1,Casual Dining,4.8,3.9,3.6
119,0,0,500.0,14.0,379.0,0.0,1,Casual Dining,3.0,3.4,3.4
120,0,1,350.0,1654.0,642.0,15.0,1,Bakery,4.2,4.1,3.6
121,0,1,500.0,919.0,147.0128911057848,0.0,1,Bakery,4.0,4.6,1.365971367493684
122,0,1,400.0,622.0818811945326,20.0,0.0,1,Bakery,5.0,3.4,1.365971367493684
123,0,1,550.0,344.0,147.0128911057848,25.0,1,Biryani,4.4,4.1,1.365971367493684
124,0,1,450.0,3314.0,417.0,0.0,1,Dessert Parlor,3.8,4.0,4.2
125,0,1,900.0,6893.0,1403.0,0.0,1,Casual Dining,3.0,3.5,3.8
126,0,1,500.0,39.0,147.0128911057848,20.0,1,Asian,4.6,3.8,1.365971367493684
127,0,1,750.0,4010.0,700.0,0.0,1,Casual Dining,4.6,4.3,4.1
128,0,1,350.0,1035.0,147.0128911057848,0.0,1,Bakery,3.0,3.8,1.365971367493684
129,0,1,500.0,5749.0,536.0,0.0,1,Quick Bites,3.6,3.7,4.2
130,0,1,700.0,217.0,1040.0,0.0,1,Quick Bites,4.6,4.1,4.2
131,0,1,500.0,622.0818811945326,43.0,0.0,1,Quick Bites,5.0,3.9,1.365971367493684
132,0,1,600.0,5878.0,604.0,0.0,1,Casual Dining,4.8,4.1,4.1
133,0,1,600.0,2533.0,147.0128911057848,25.0,1,Bakery,2.2,4.0,1.365971367493684
134,0,1,500.0,909.0,169.0,20.0,1,Casual Dining,4.8,3.7,4.0
135,0,1,500.0,48.0,20.0,0.0,1,Quick Bites,4.4,3.9,3.9
136,0,1,900.0,8903.0,2167.0,0.0,1,Casual Dining,4.0,4.2,4.0
137,0,0,700.0,2912.0,147.0128911057848,0.0,1,Biryani,2.6,4.0,1.365971367493684
138,0,1,500.0,7077.0,1225.0,0.0,1,Café,4.6,4.0,3.9
139,0,1,1000.0,886.0,85.0,10.0,1,Casual Dining,3.8,3.6,4.0
140,0,1,1000.0,3732.0,1317.0,0.0,1,Casual Dining,4.0,4.3,4.0
141,0,0,600.0,91.0,204.0,0.0,1,Quick Bites,4.8,3.9,3.5
142,0,1,800.0,428.0,2190.0,0.0,1,Café,4.6,4.1,3.9
143,0,1,800.0,1774.0,1392.0,0.0,1,Dessert Parlor,4.8,4.4,4.4
144,0,1,550.0,5659.0,463.0,0.0,1,Quick Bites,3.6,3.8,3.8
145,0,1,2500.0,88.0,1951.0,100.0,1,Fine Dining,5.0,4.6,3.9
146,0,1,250.0,820.0,115.0,0.0,1,Bakery,3.8,3.8,3.9
147,0,1,550.0,6189.0,613.0,10.0,1,Quick Bites,4.8,4.2,3.5
148,0,1,1600.0,6472.0,3755.0,0.0,1,Casual Dining,4.4,4.7,4.1
149,0,1,800.0,5838.0,2389.0,0.0,1,Casual Dining,4.4,4.6,3.6
150,0,1,500.0,3154.0,147.0128911057848,10.0,1,Bakery,4.2,4.3,1.365971367493684
151,0,1,400.0,577.0,119.0,10.0,1,Quick Bites,4.4,3.6,2.8
152,0,1,250.0,104.0,728.0,0.0,1,Quick Bites,3.8,4.1,3.9
153,0,1,700.0,260.0,67.0,20.0,1,Casual Dining,5.0,3.7,3.3
154,0,1,200.0,956.0,147.0128911057848,0.0,1,Fast Food,5.0,2.9,1.365971367493684
155,0,1,1000.0,192.0,368.0,0.0,1,Café,4.8,4.3,4.2
156,1,1,900.0,17.0,2657.0,0.0,1,Casual Dining,3.4,3.9,3.7
157,0,1,1000.0,4638.0,1298.0,0.0,1,Casual Dining,2.6,4.0,3.8
158,0,1,600.0,2303.0,396.0,0.0,1,Quick Bites,2.4,4.1,3.7
159,0,1,500.0,8719.0,506.0,0.0,1,Quick Bites,4.2,4.0,3.8
160,0,1,1000.0,125.0,741.0,0.0,1,Casual Dining,3.2,4.3,4.1
161,1,1,800.0,168.0,272.0,20.0,1,Café,4.2,4.1,4.2
162,0,1,300.0,428.0,118.0,15.0,1,Quick Bites,3.4,3.7,3.5
163,0,1,500.0,2067.0,584.0,0.0,1,Quick Bites,4.2,3.7,4.1
164,0,0,400.0,2335.0,140.0,0.0,1,Quick Bites,1.8,3.6,3.7
165,0,1,400.0,4642.0,873.0,0.0,1,Quick Bites,4.8,4.2,3.7
166,0,1,200.0,68.0,27.0,0.0,1,Dessert Parlor,4.8,3.4,3.9
167,1,1,800.0,1882.0,2562.0,10.0,1,Café,4.6,4.4,3.4
168,0,0,200.0,622.0818811945326,5469.0,0.0,1,Quick Bites,4.8,4.9,1.365971367493684
169,0,1,1500.0,2570.0,1736.0,0.0,1,Casual Dining,5.0,4.5,4.4
170,0,1,400.0,2871.0,1079.0,0.0,1,Quick Bites,3.75,4.2,4.1
171,0,1,300.0,12.0,147.0128911057848,0.0,1,Beverage Shop,5.0,3.9,1.365971367493684
172,0,1,2000.0,347.0,7701.0,0.0,1,Casual Dining,3.6,4.2,4.0
173,0,0,300.0,2871.0,147.0128911057848,0.0,1,Bakery,4.6,4.3,1.365971367493684
174,0,0,700.0,232.0,1497.0,0.0,1,Casual Dining,4.0,4.3,3.9
175,0,1,800.0,3989.0,618.0,0.0,1,Casual Dining,3.6,4.0,3.8
176,0,1,450.0,428.0,145.0,0.0,1,Casual Dining,3.4,3.8,4.1
177,0,1,500.0,1486.0,208.0,20.0,1,Quick Bites,3.4,3.7,3.3
178,0,1,700.0,154.0,768.0,0.0,1,Casual Dining,5.0,4.1,3.9
179,0,1,700.0,9405.0,815.0,0.0,1,Casual Dining,3.0,4.1,4.2
180,0,0,800.0,622.0818811945326,62.0,0.0,1,Bar,2.8,3.6,1.365971367493684
181,0,1,400.0,3296.0,224.0,0.0,1,Bakery,5.0,3.3,3.2
182,0,0,1600.0,731.0,688.0,0.0,1,Casual Dining,3.2,4.1,4.0
183,0,1,800.0,694.0,884.0,10.0,1,Café,5.0,4.2,3.8
184,0,1,500.0,162.0,147.0128911057848,0.0,1,Bakery,5.0,4.0,1.365971367493684
185,0,1,300.0,214.0,26.0,0.0,1,Bakery,4.6,3.1,4.2
186,0,0,200.0,551.0,158.0,0.0,1,Dessert Parlor,4.4,3.7,4.0
187,0,1,600.0,2816.0,805.0,10.0,1,Café,3.8,4.1,4.1
188,0,1,350.0,1892.0,345.0,0.0,1,Quick Bites,2.8,3.9,4.0
189,0,1,650.0,243.0,147.0128911057848,15.0,1,Momos,2.4,3.9,1.365971367493684
190,0,1,700.0,2828.0,815.0,0.0,1,Casual Dining,4.2,4.0,4.1
191,0,1,700.0,118.0,515.0,0.0,1,Casual Dining,3.4,3.9,4.0
192,0,1,700.0,1408.0,500.0,0.0,1,Casual Dining,4.6,3.9,3.9
193,0,1,500.0,192.0,38.0,0.0,1,Quick Bites,4.8,3.7,2.8
194,0,1,350.0,528.0,283.0,0.0,1,Dessert Parlor,4.2,4.0,3.9
195,0,0,1800.0,62.0,2976.0,0.0,1,Pub,4.4,4.7,3.8
196,0,1,200.0,21.0,147.0128911057848,10.0,1,Bakery,5.0,3.0,1.365971367493684
197,0,1,500.0,181.0,928.0,0.0,1,Casual Dining,3.4,4.1,3.7
198,0,1,500.0,55.0,24.0,10.0,1,Quick Bites,4.2,3.3,3.7
199,0,0,500.0,1173.0,2428.0,0.0,1,Quick Bites,4.4,4.1,3.5
200,0,1,250.0,757.0,61.0,0.0,1,Quick Bites,4.4,3.4,3.8
201,0,1,300.0,5341.0,2052.0,0.0,1,Quick Bites,4.0,4.3,3.7
202,0,1,400.0,360.0,33.0,0.0,1,Bakery,4.0,3.4,3.7
203,0,1,400.0,52.0,27.0,0.0,1,Bakery,5.0,3.5,3.4
204,0,0,350.0,156.0,720.0,0.0,1,Quick Bites,4.2,4.2,4.2
205,0,1,200.0,3067.0,99.0,15.0,1,Quick Bites,4.8,3.6,4.1
206,0,1,400.0,3949.0,192.0,0.0,1,Quick Bites,4.2,3.9,3.9
207,0,1,500.0,1628.0,110.0,0.0,1,Casual Dining,3.6,3.1,4.0
208,0,1,500.0,113.0,471.0,20.0,1,Quick Bites,3.0,3.9,4.0
209,0,1,300.0,1801.0,333.0,0.0,1,Dessert Parlor,3.8,3.8,4.0
210,0,1,1500.0,622.0818811945326,681.0,0.0,1,Bar,3.0,3.9,1.365971367493684
211,0,1,1600.0,622.0818811945326,871.0,0.0,1,Casual Dining,4.4,4.4,1.365971367493684
212,0,0,350.0,1369.0,437.0,0.0,1,Dessert Parlor,4.8,4.2,4.4
213,0,1,800.0,3563.0,2551.0,0.0,1,Casual Dining,4.8,4.3,4.0
214,0,1,350.0,126.0,778.0,0.0,1,Quick Bites,3.4,4.3,4.1
215,0,1,600.0,393.0,147.0128911057848,0.0,1,Sweet Shop,4.4,3.9,1.365971367493684
216,0,1,500.0,848.0,37.0,0.0,1,Quick Bites,4.8,3.6,3.9
217,0,1,700.0,1590.0,430.0,0.0,1,Café,4.2,4.1,4.2
218,0,0,700.0,480.0,222.0,0.0,1,Casual Dining,4.8,4.0,4.1
219,0,1,800.0,3635.0,942.0,0.0,1,Casual Dining,3.8,4.1,4.1
220,0,1,600.0,2222.0,147.0128911057848,10.0,1,Healthy Food,3.4,3.9,1.365971367493684
221,0,1,400.0,622.0818811945326,61.0,0.0,1,Quick Bites,5.0,3.8,1.365971367493684
222,0,1,350.0,4420.0,227.0,0.0,1,Sweet Shop,3.2,3.4,3.8
223,0,0,500.0,220.0,261.0,0.0,1,Quick Bites,4.4,3.9,4.1
224,0,1,200.0,477.0,41.0,20.0,1,Bakery,3.0,2.9,4.1
225,0,0,400.0,4614.0,305.0,0.0,1,Casual Dining,3.4,3.8,3.7
226,0,0,800.0,861.0,1664.0,0.0,1,Casual Dining,3.2,4.4,4.5
227,0,0,100.0,2234.0,682.0,0.0,1,Quick Bites,4.4,4.0,3.8
228,0,1,600.0,4812.0,649.0,20.0,1,Quick Bites,4.2,4.1,4.1
229,0,0,300.0,1231.0,958.0,0.0,1,Dessert Parlor,4.2,4.1,3.6
230,0,0,300.0,440.0,71.0,0.0,1,Bakery,4.8,3.1,3.6
231,0,1,300.0,114.0,147.0128911057848,20.0,1,North Indian,5.0,3.8,1.365971367493684
232,0,1,1800.0,33.0,356.0,0.0,1,Casual Dining,3.2,4.2,3.9
233,0,1,300.0,89.0,33.0,0.0,1,Bakery,3.8,3.4,4.3
234,0,1,1500.0,194.0,2186.0,0.0,1,Bar,4.6,4.4,4.0
235,0,1,1000.0,1204.0,237.0,0.0,1,Casual Dining,4.0,3.9,3.9
236,0,0,300.0,622.0818811945326,165.0,0.0,1,Quick Bites,4.8,3.9,1.365971367493684
237,0,1,400.0,770.0,147.0128911057848,0.0,1,Bakery,3.0,4.0,1.365971367493684
238,0,1,2500.0,622.0818811945326,1860.0,0.0,1,Fine Dining,5.0,4.4,1.365971367493684
239,1,1,400.0,226.0,1771.0,10.0,1,Casual Dining,3.0,4.3,3.8
240,0,1,450.0,77.0,147.0128911057848,0.0,1,North Indian,4.2,3.7,1.365971367493684
241,0,1,800.0,5479.0,701.0,0.0,1,Casual Dining,3.2,3.7,3.6
